,0,1,2,3
0,Peligros,Políg. Asegra,Granada,Prof. Emilio Orozco
0,07:00,07:10,07:23,07:30
0,07:30,07:40,07:53,08:00
0,08:00,08:10,08:23,08:30
0,08:30,08:40,08:53,09:00
0,09:00,09:10,09:23,09:30
0,09:30,09:40,09:53,10:00
0,10:00,10:10,10:23,10:30
0,10:30,10:40,10:53,11:00
0,11:00,11:10,11:23,11:30
0,11:30,11:40,11:53,12:00
0,12:00,12:10,12:23,12:30
0,12:30,12:40,12:53,13:00
0,13:00,13:10,13:23,13:30
0,13:30,13:40,13:53,14:00
0,14:00,14:10,14:23,14:30
0,14:30,14:40,14:53,15:00
0,15:00,15:10,15:23,15:30
0,15:30,15:40,15:53,16:00
0,16:00,16:10,16:23,16:30
0,16:30,16:40,16:53,17:00
0,17:00,17:10,17:23,17:30
0,17:30,17:40,17:53,18:00
0,18:00,18:10,18:23,18:30
0,18:30,18:40,18:53,19:00
0,19:00,19:10,19:23,19:30
0,19:30,19:40,19:53,20:00
0,20:00,20:10,20:23,20:30
0,20:30,20:40,20:53,21:00
0,21:00,21:10,21:23,21:30
0,21:30,21:40,21:53,22:00
0,22:00,22:10,22:23,22:30
