,0,1,2,3,4,5
0,Granada,Huétor Vega,Cájar,Bellavista,La Zubia,Primero de Mayo
0,07:45,07:55,08:05,08:10,08:13,08:15
0,08:00,08:10,08:20,08:25,08:28,08:30
0,08:45,08:55,09:05,09:10,09:13,09:15
0,08:50,09:00,09:10,09:15,09:18,09:20
0,09:00,09:10,09:20,09:25,09:28,09:30
0,09:45,09:55,10:05,10:10,10:13,10:15
0,09:50,10:00,10:10,10:15,10:18,10:20
0,10:00,10:10,10:20,10:25,10:28,10:30
0,10:45,10:55,11:05,11:10,11:13,11:15
0,10:50,11:00,11:10,11:15,11:18,11:20
0,11:00,11:10,11:20,11:25,11:28,11:30
0,11:45,11:55,12:05,12:10,12:13,12:15
0,11:50,12:00,12:10,12:15,12:18,12:20
0,12:00,12:10,12:20,12:25,12:28,12:30
0,12:45,12:55,13:05,13:10,13:13,13:15
0,12:50,13:00,13:10,13:15,13:18,13:20
0,13:00,13:10,13:20,13:25,13:28,13:30
0,13:45,13:55,14:05,14:10,14:13,14:15
0,13:50,14:00,14:10,14:15,14:18,14:20
0,14:00,14:10,14:20,14:25,14:28,14:30
0,14:45,14:55,15:05,15:10,15:13,15:15
0,14:50,15:00,15:10,15:15,15:18,15:20
0,15:00,15:10,15:20,15:25,15:28,15:30
0,15:50,16:00,16:10,16:15,16:18,16:20
0,16:00,16:10,16:20,16:25,16:28,16:30
0,16:00,16:10,16:20,16:25,16:28,16:30
0,16:50,17:00,17:10,17:15,17:18,17:20
0,17:00,17:10,17:20,17:25,17:28,17:30
0,17:00,17:10,17:20,17:25,17:28,17:30
0,17:50,18:00,18:10,18:15,18:18,18:20
0,18:00,18:10,18:20,18:25,18:28,18:30
0,18:00,18:10,18:20,18:25,18:28,18:30
0,18:50,19:00,19:10,19:15,19:18,19:20
0,19:00,19:10,19:20,19:25,19:28,19:30
0,19:00,19:10,19:20,19:25,19:28,19:30
0,19:50,20:00,20:10,20:15,20:18,20:20
0,20:00,20:10,20:20,20:25,20:28,20:30
0,20:00,20:10,20:20,20:25,20:28,20:30
0,20:50,21:00,21:10,21:15,21:18,21:20
0,21:00,21:10,21:20,21:25,21:28,21:30
0,21:00,21:10,21:20,21:25,21:28,21:30
0,21:50,22:00,22:10,22:15,22:18,22:20
0,22:00,22:10,22:20,22:25,22:28,22:30
0,22:00,22:10,22:20,22:25,22:28,22:30
0,22:50,23:00,23:10,23:15,23:18,23:20
0,23:00,23:10,23:20,23:25,23:28,23:30
