,0,1,2,3,4,5,6,7,8
0,Capitán Moreno,Barrio Butano,Caserío Fonseca,Monteluz,Loma Verde,Cortijo Del Aire,Villas Blancas,Calicasas,C/Granada
0,08:15,08:30,08:30,08:35,08:40,08:45,08:50,08:52,08:55
0,09:00,09:15,09:15,09:20,09:25,09:30,09:35,09:37,09:40
0,10:30,10:45,10:45,10:50,10:55,11:00,11:05,11:07,11:10
0,12:00,12:15,12:15,12:20,12:25,12:30,12:35,12:37,12:40
0,13:30,13:45,13:45,13:50,13:55,14:00,14:05,14:07,14:10
0,14:00,14:15,14:15,14:20,14:25,14:30,14:35,14:37,14:40
0,15:00,15:15,15:15,15:20,15:25,15:30,15:35,15:37,15:40
0,16:45,17:00,17:00,17:05,17:10,17:15,17:20,17:22,17:25
0,17:00,17:15,17:15,17:20,17:25,17:30,17:35,17:37,17:40
0,18:30,18:45,18:45,18:50,18:55,19:00,19:05,19:07,19:10
0,20:00,20:15,20:15,20:20,20:25,20:30,20:35,20:37,20:40
0,20:00,20:15,20:15,20:20,20:25,20:30,20:35,20:37,20:40
0,21:30,21:45,21:45,21:50,21:55,22:00,22:05,22:07,22:10
0,21:30,21:45,21:45,21:50,21:55,22:00,22:05,22:07,22:10
0,23:00,23:15,23:15,23:20,23:25,23:30,23:35,23:40,23:45
0,23:00,23:15,23:15,23:20,23:25,23:30,23:35,23:37,23:40
