,0,1,2,3,4,5,6,7,8
0,Calicasas,Villas Blancas,Cortijo Del Aire,Loma Verde,Monteluz,Caserío Fonseca,Barrio Butano,Granada,Capitán Moreno
0,07:30,07:35,07:40,07:45,07:50,07:55,07:55,08:05,08:10
0,08:15,08:20,08:25,08:30,08:35,08:40,08:40,08:50,08:55
0,09:00,09:05,09:10,09:15,09:20,09:25,09:25,09:35,09:40
0,09:45,09:50,09:55,10:00,10:05,10:10,10:10,10:20,10:25
0,11:15,11:20,11:25,11:30,11:35,11:40,11:40,11:50,11:55
0,12:45,12:50,12:55,13:00,13:05,13:10,13:10,13:20,13:25
0,14:15,14:20,14:25,14:30,14:35,14:40,14:40,14:50,14:55
0,16:00,16:05,16:10,16:15,16:20,16:25,16:25,16:35,16:40
0,16:15,16:20,16:25,16:30,16:35,16:40,16:40,16:50,16:55
0,17:30,17:35,17:40,17:45,17:50,17:55,17:55,18:05,18:10
0,17:45,17:50,17:55,18:00,18:05,18:10,18:10,18:20,18:25
0,19:15,19:20,19:25,19:30,19:35,19:40,19:40,19:50,19:55
0,20:45,20:50,20:55,21:00,21:05,21:10,21:10,21:20,21:25
0,20:45,20:50,20:55,21:00,21:05,21:10,21:10,21:20,21:25
0,22:15,22:20,22:25,22:30,22:35,22:40,22:40,22:50,22:55
