,0,1,2,3,4
0,Granada,La Duquesa,Pinos Genil,Güéjar Sierra,Güéjar Sierra 2
0,07:20,07:40,--,07:55,08:00
0,08:00,08:20,--,08:35,08:40
0,08:30,08:50,--,09:05,09:10
0,08:50,09:10,09:15,09:25,09:30
0,09:15,09:35,--,09:50,09:55
0,09:30,09:50,09:55,10:05,10:10
0,10:10,10:30,--,10:45,10:50
0,10:30,10:50,--,11:05,11:10
0,10:50,11:10,11:15,11:25,11:30
0,11:30,11:50,11:55,12:05,12:10
0,12:00,12:20,--,12:35,12:40
0,12:10,12:30,--,12:45,12:50
0,12:50,13:10,13:15,13:25,13:30
0,13:30,13:50,--,14:05,14:10
0,13:30,13:50,13:55,14:05,14:10
0,14:00,14:20,--,14:35,14:40
0,14:10,14:30,14:35,14:45,14:50
0,15:00,15:20,15:25,15:35,15:40
0,15:40,16:00,--,16:15,16:20
0,17:00,17:20,--,17:35,17:40
0,17:00,17:20,17:25,17:35,17:40
0,18:00,18:20,--,18:35,18:40
0,18:20,18:40,18:45,18:55,19:00
0,19:00,19:20,--,19:35,19:40
0,19:40,20:00,20:05,20:15,20:20
0,20:30,20:50,--,21:05,21:10
0,20:30,20:50,--,21:05,21:10
0,21:00,21:20,--,21:35,21:40
0,22:00,22:20,--,22:35,22:40
0,22:30,22:50,22:55,23:05,23:10
