,0,1,2,3,4,5,6,7
0,Centro Penitenciario,Urb. Cubillas ,Llanos De Silva,Ciudad Ilíberis,El Chaparral,Emp. Albolote,La Cueva,Rector Marín Ocete
0,--,07:15,07:17,07:18,07:25,07:32,07:40,07:50
0,--,08:00,08:02,08:03,08:10,08:17,08:25,08:35
0,--,08:45,08:47,08:48,08:55,09:02,09:10,09:20
0,09:30,09:45,09:47,09:48,09:55,10:00,10:05,10:15
0,--,09:30,09:32,09:33,09:40,09:47,09:55,10:05
0,10:15,10:30,10:32,10:33,10:40,10:45,10:50,11:00
0,--,10:15,10:17,10:18,10:25,10:32,10:40,10:50
0,11:15,11:30,11:32,11:33,11:35,11:40,11:45,11:55
0,--,12:15,12:17,12:18,12:25,12:32,12:40,12:50
0,12:30,12:45,12:47,12:48,12:55,13:00,13:05,13:15
0,12:45,13:00,13:02,13:03,13:10,13:15,13:20,13:30
0,--,13:45,13:47,13:48,13:55,14:02,14:10,14:20
0,14:15,14:30,14:32,14:33,14:40,14:45,14:50,15:00
0,--,14:15,14:17,14:18,14:25,14:32,14:40,14:50
0,14:15,14:30,14:32,14:33,14:35,14:40,14:45,14:55
0,16:15,16:30,16:32,16:33,16:35,16:40,16:45,16:55
0,--,16:30,16:32,16:33,16:40,16:47,16:55,17:05
0,17:45,18:00,18:02,18:03,18:10,18:15,18:20,18:30
0,17:45,18:00,18:02,18:03,18:10,18:15,18:20,18:30
0,--,18:30,18:32,18:33,18:40,18:47,18:55,19:05
0,19:15,19:30,19:32,19:33,19:40,19:45,19:50,20:00
0,19:15,19:30,19:32,19:33,19:35,19:40,19:45,19:55
0,--,20:15,20:17,20:18,20:25,20:32,20:40,20:50
0,--,21:00,21:02,21:03,21:10,21:15,21:20,21:30
0,--,21:45,21:47,21:48,21:55,22:02,22:10,22:20
0,--,22:15,22:17,22:18,22:25,22:30,22:35,22:45
