,0,1,2,3,4,5
0,Sierra Elvira,Atarfe,Albolote,Maracena,Granada,Rector Marín Ocete
0,--,06:45,06:55,07:05,07:10,07:20
0,--,07:00,07:10,07:20,07:30,07:40
0,--,07:00,07:10,07:20,07:25,07:30
0,--,07:20,07:30,07:40,07:50,08:00
0,--,07:30,07:40,07:50,07:55,08:00
0,--,07:35,07:45,07:55,08:00,08:05
0,--,07:35,07:45,07:55,08:00,08:05
0,--,07:40,07:50,08:00,08:10,08:20
0,--,08:00,08:10,08:20,08:30,08:40
0,--,08:10,08:20,08:30,08:35,08:40
0,--,08:20,08:30,08:40,08:50,09:00
0,--,08:40,08:50,09:00,09:10,09:20
0,--,08:50,09:00,09:10,09:15,09:20
0,--,08:50,09:00,09:10,09:15,09:20
0,08:59,09:09,--,--,--,--
0,09:00,09:11,--,--,--,--
0,--,09:20,09:30,09:40,09:50,10:00
0,--,09:30,09:40,09:50,09:55,10:00
0,--,09:40,09:50,10:00,10:10,10:20
0,--,10:00,10:10,10:20,10:30,10:40
0,--,10:10,10:20,10:30,10:35,10:40
0,--,10:10,10:20,10:30,10:35,10:40
0,--,10:20,10:30,10:40,10:50,11:00
0,--,10:40,10:50,11:00,11:10,11:20
0,--,10:50,11:00,11:10,11:15,11:20
0,--,11:00,11:10,11:20,11:30,11:40
0,--,11:20,11:30,11:40,11:50,12:00
0,--,11:30,11:40,11:50,11:55,12:00
0,--,11:30,11:40,11:50,11:55,12:00
0,--,11:40,11:50,12:00,12:10,12:20
0,--,12:00,12:10,12:20,12:30,12:40
0,--,12:10,12:20,12:30,12:35,12:40
0,--,12:20,12:30,12:40,12:50,13:00
0,12:25,12:35,--,--,--,--
0,--,12:40,12:50,13:00,13:10,13:20
0,--,12:50,13:00,13:10,13:15,13:20
0,--,12:50,13:00,13:10,13:15,13:20
0,--,13:00,13:10,13:20,13:30,13:40
0,--,13:20,13:30,13:40,13:50,14:00
0,--,13:30,13:40,13:50,13:55,14:00
0,--,13:40,13:50,14:00,14:10,14:20
0,--,14:00,14:10,14:20,14:30,14:40
0,--,14:10,14:20,14:30,14:35,14:40
0,--,14:10,14:20,14:30,14:35,14:40
0,--,14:20,14:30,14:40,14:50,15:00
0,--,14:40,14:50,15:00,15:10,15:20
0,--,14:50,15:00,15:10,15:15,15:20
0,--,14:50,15:00,15:10,15:15,15:20
0,--,15:00,15:10,15:20,15:30,15:40
0,--,15:20,15:30,15:40,15:50,16:00
0,--,15:30,15:40,15:50,15:55,16:00
0,--,15:30,15:40,15:50,15:55,16:00
0,--,15:40,15:50,16:00,16:10,16:20
0,--,16:00,16:10,16:20,16:30,16:40
0,--,16:10,16:20,16:30,16:35,16:40
0,--,16:10,16:20,16:30,16:35,16:40
0,--,16:20,16:30,16:40,16:50,17:00
0,--,16:40,16:50,17:00,17:10,17:20
0,--,16:50,17:00,17:10,17:15,17:20
0,--,16:50,17:00,17:10,17:15,17:20
0,--,17:00,17:10,17:20,17:30,17:40
0,--,17:20,17:30,17:40,17:50,18:00
0,--,17:30,17:40,17:50,17:55,18:00
0,--,17:30,17:40,17:50,17:55,18:00
0,--,17:40,17:50,18:00,18:10,18:20
0,--,18:00,18:10,18:20,18:30,18:40
0,--,18:10,18:20,18:30,18:35,18:40
0,--,18:10,18:20,18:30,18:35,18:40
0,--,18:20,18:30,18:40,18:50,19:00
0,--,18:40,18:50,19:00,19:10,19:20
0,--,18:50,19:00,19:10,19:15,19:20
0,--,18:50,19:00,19:10,19:15,19:20
0,--,19:00,19:10,19:20,19:30,19:40
0,--,19:20,19:30,19:40,19:50,20:00
0,--,19:30,19:40,19:50,19:55,20:00
0,--,19:30,19:40,19:50,19:55,20:00
0,--,19:40,19:50,20:00,20:10,20:20
0,--,20:00,20:10,20:20,20:30,20:40
0,--,20:10,20:20,20:30,20:35,20:40
0,--,20:10,20:20,20:30,20:35,20:40
0,--,20:20,20:30,20:40,20:50,21:00
0,--,20:40,20:50,21:00,21:10,21:20
0,--,20:50,21:00,21:10,21:15,21:20
0,--,20:50,21:00,21:10,21:15,21:20
0,--,21:00,21:10,21:20,21:30,21:40
0,--,21:20,21:30,21:40,21:50,22:00
0,--,21:25,21:35,21:45,21:50,21:55
0,--,21:25,21:35,21:45,21:50,21:55
0,--,21:40,21:50,22:00,22:10,22:20
0,--,22:00,22:10,22:20,22:25,22:30
0,--,22:00,22:10,22:20,22:30,22:40
0,--,22:00,22:10,22:20,22:25,22:30
0,--,22:30,22:40,22:50,22:55,23:00
0,--,22:30,22:40,22:50,22:55,23:00
0,--,22:40,22:50,23:00,23:05,23:10
