,0,1,2
0,Granada,Atarfe,Avda. Estación 2
0,07:30,07:52,08:02
0,08:00,08:22,08:32
0,08:30,08:52,09:02
0,09:00,09:22,09:32
0,09:30,09:52,10:02
0,10:00,10:22,10:32
0,10:30,10:52,11:02
0,11:00,11:22,11:32
0,11:30,11:52,12:02
0,12:00,12:22,12:32
0,12:30,12:52,13:02
0,13:00,13:22,13:32
0,13:30,13:52,14:02
0,14:00,14:22,14:32
0,14:30,14:52,15:02
0,15:00,15:22,15:32
0,15:30,15:52,16:02
0,16:30,16:52,17:02
0,17:30,17:52,18:02
0,18:30,18:52,19:02
0,19:30,19:52,20:02
0,20:30,20:52,21:02
0,21:30,21:52,22:02
0,22:30,22:52,23:02
