,0,1,2,3,4,5,6
0,El Ventorrillo,Cúllar Vega,Híjar,Churriana De La Vega,Armilla,Granada,Parque Sur de Bomberos
0,06:55,07:00,07:05,07:15,07:20,07:23,07:25
0,07:25,07:30,07:35,07:55,08:00,08:03,08:05
0,07:55,08:00,08:05,08:25,08:30,08:33,08:35
0,08:10,08:15,08:20,08:40,08:45,08:48,08:50
0,09:25,09:30,09:35,09:55,10:00,10:03,10:05
0,09:40,09:45,09:50,10:10,10:15,10:18,10:20
0,09:40,09:45,09:50,10:10,10:15,10:18,10:20
0,10:55,11:00,11:05,11:25,11:30,11:33,11:35
0,11:10,11:15,11:20,11:40,11:45,11:48,11:50
0,11:10,11:15,11:20,11:40,11:45,11:48,11:50
0,12:25,12:30,12:35,12:55,13:00,13:03,13:05
0,12:40,12:45,12:50,13:10,13:15,13:18,13:20
0,12:40,12:45,12:50,13:10,13:15,13:18,13:20
0,13:55,14:00,14:05,14:25,14:30,14:33,14:35
0,14:10,14:15,14:20,14:40,14:45,14:48,14:50
0,14:10,14:15,14:20,14:40,14:45,14:48,14:50
0,15:25,15:30,15:35,15:55,16:00,16:03,16:05
0,15:40,15:45,15:50,16:10,16:15,16:18,16:20
0,15:40,15:45,15:50,16:10,16:15,16:18,16:20
0,16:25,16:30,16:35,16:55,17:00,17:03,17:05
0,16:55,17:00,17:05,17:25,17:30,17:33,17:35
0,17:10,17:15,17:20,17:40,17:45,17:48,17:50
0,17:10,17:15,17:20,17:40,17:45,17:48,17:50
0,17:55,18:00,18:05,18:25,18:30,18:33,18:35
0,18:25,18:30,18:35,18:55,19:00,19:03,19:05
0,18:40,18:45,18:50,19:10,19:15,19:18,19:20
0,18:40,18:45,18:50,19:10,19:15,19:18,19:20
0,19:25,19:30,19:35,19:55,20:00,20:03,20:05
0,19:55,20:00,20:05,20:25,20:30,20:33,20:35
0,20:10,20:15,20:20,20:40,20:45,20:48,20:50
0,20:10,20:15,20:20,20:40,20:45,20:48,20:50
0,20:55,21:00,21:05,21:25,21:30,21:33,21:35
0,21:25,21:30,21:35,21:55,22:00,22:03,22:05
0,21:40,21:45,21:50,22:05,22:10,22:13,22:15
0,21:40,21:45,21:50,22:10,22:15,22:18,22:20
0,22:55,23:00,23:05,23:25,23:30,23:33,23:35
