,0,1,2,3
0,Granada,Armilla,Base Aérea Armilla,El Carmelo
0,06:45,06:55,07:10,--
0,07:10,07:20,07:28,07:30
0,07:25,07:35,07:45,--
0,07:35,07:45,08:00,--
0,08:00,08:10,08:25,--
0,08:05,08:15,08:18,08:20
0,08:25,08:35,08:50,--
0,08:50,09:00,09:08,09:10
0,08:50,09:00,09:15,--
0,09:15,09:25,09:40,--
0,09:40,09:50,09:58,10:00
0,09:40,09:50,10:05,--
0,10:05,10:15,10:25,10:25
0,10:30,10:40,10:55,--
0,10:55,11:05,11:20,--
0,11:20,11:30,11:45,--
0,11:20,11:30,11:38,11:40
0,11:45,11:55,12:10,--
0,12:10,12:20,12:35,--
0,12:35,12:45,13:00,--
0,13:00,13:10,13:25,--
0,13:25,13:35,13:50,--
0,13:50,14:00,14:08,14:10
0,14:15,14:25,14:35,14:35
0,14:40,14:50,14:58,15:00
0,14:40,14:50,15:05,--
0,15:05,15:15,15:30,--
0,15:30,15:40,15:55,--
0,15:30,15:40,15:48,15:50
0,15:55,16:05,16:20,--
0,16:20,16:30,16:38,16:40
0,16:20,16:30,16:45,--
0,16:45,16:55,17:10,--
0,17:10,17:20,17:35,--
0,17:10,17:20,17:28,17:30
0,17:35,17:45,18:00,--
0,18:00,18:10,18:18,18:20
0,18:00,18:10,18:25,--
0,18:25,18:35,18:50,--
0,18:50,19:00,19:15,--
0,19:15,19:25,19:33,19:35
0,19:40,19:50,20:05,--
0,20:05,20:15,20:30,--
0,20:30,20:40,20:48,20:50
0,20:55,21:05,21:20,--
0,21:20,21:30,21:38,21:40
0,21:20,21:30,21:45,--
0,21:45,21:55,22:05,22:05
0,22:10,22:20,22:28,22:30
0,22:10,22:20,22:35,--
0,23:00,23:10,23:18,23:20
