,0,1,2
0,Pinos Puente,Granada,Rector Marín Ocete
0,09:00,09:20,09:35
0,09:30,09:50,10:05
0,10:00,10:20,10:35
0,10:00,10:20,10:35
0,10:05,10:25,10:40
0,10:35,10:55,11:10
0,11:05,11:26,11:41
0,12:05,12:26,12:41
0,12:55,13:15,13:30
0,13:00,13:20,13:35
0,13:00,13:20,13:35
0,13:25,13:46,14:01
0,13:55,14:15,14:30
0,15:30,15:50,16:05
0,15:30,15:50,16:05
0,16:35,16:55,17:10
0,17:30,17:50,18:05
0,17:30,17:50,18:05
0,17:35,17:55,18:10
0,18:05,18:25,18:40
0,18:35,18:55,19:10
0,19:30,19:50,20:05
0,20:00,20:20,20:35
0,20:30,20:50,21:05
0,21:30,21:50,22:05
0,22:30,22:50,23:05
