,0,1,2,3,4,5,6,7
0,Granada,E. Atarfe,Granada,E. Atarfe,Pinos Puente,Casanueva,Zujaira,Zuj-Iglesia
0,06:10,06:10,06:10,06:25,06:35,06:40,06:43,06:45
0,06:40,06:40,06:40,06:55,07:05,07:10,07:13,07:15
0,07:10,07:10,07:10,07:25,07:35,07:45,07:48,07:50
0,07:40,07:40,07:40,08:00,08:10,08:20,08:23,08:25
0,07:45,07:45,07:45,08:00,08:10,08:15,08:18,08:20
0,07:45,07:45,07:45,08:00,08:10,08:15,08:18,08:20
0,10:45,10:45,10:45,11:05,11:15,11:25,11:28,11:30
0,10:45,10:45,10:45,11:00,11:10,11:15,11:18,11:20
0,10:45,10:57,10:58,11:00,11:11,11:15,11:18,11:20
0,11:45,11:45,11:45,12:05,12:15,12:25,12:28,12:30
0,13:40,13:40,13:40,14:00,14:10,14:20,14:23,14:25
0,13:45,13:45,13:45,14:00,14:10,14:15,14:18,14:20
0,13:45,13:57,13:58,14:00,14:11,14:15,14:18,14:20
0,14:10,14:10,14:10,14:30,14:40,14:50,14:53,14:55
0,14:40,14:40,14:40,15:00,15:10,15:20,15:23,15:25
0,15:15,15:15,15:15,15:35,15:45,15:55,15:58,16:00
0,15:30,15:37,15:38,15:50,16:00,16:10,16:13,16:15
0,15:30,15:30,15:30,15:50,16:00,16:10,16:13,16:15
0,16:15,16:15,16:15,16:35,16:45,16:55,16:58,17:00
0,17:30,17:30,17:30,17:50,18:00,18:10,18:13,18:15
0,17:30,17:37,17:38,17:50,18:00,18:10,18:13,18:15
0,18:15,18:15,18:15,18:35,18:45,18:55,18:58,19:00
0,20:15,20:15,20:15,20:35,20:45,20:55,20:58,21:00
0,20:30,20:30,20:30,20:50,21:00,21:10,21:13,21:15
0,20:30,20:37,20:38,20:50,21:00,21:10,21:13,21:15
0,21:15,21:15,21:15,21:30,21:40,21:45,21:48,21:50
0,21:30,21:30,21:30,21:50,22:00,22:10,22:13,22:15
0,21:30,21:37,21:38,21:50,22:00,22:10,22:13,22:15
0,22:15,22:15,22:15,22:30,22:40,22:45,22:48,22:50
0,22:15,22:27,22:28,22:30,22:41,22:45,22:48,22:50
0,23:00,23:00,23:00,23:15,23:25,23:30,23:33,23:35
