,0,1,2,3,4,5,6
0,Granada,Santa Fé,Pedro Ruiz,Fuente Vaqueros,Valderrubio,Escóznar,Obéilar
0,08:00,08:15,08:20,08:25,08:30,08:35,08:50
0,09:00,09:15,09:20,09:25,09:30,09:35,09:50
0,09:00,09:15,09:20,09:25,09:30,09:35,09:50
0,10:00,10:15,10:20,10:25,10:30,10:35,10:50
0,11:00,11:15,11:20,11:25,11:30,11:35,11:50
0,11:00,11:15,11:20,11:25,11:30,11:35,11:50
0,12:00,12:15,12:20,12:25,12:30,12:35,12:50
0,13:00,13:15,13:20,13:25,13:30,13:35,13:50
0,13:00,13:15,13:20,13:25,13:30,13:35,13:50
0,14:00,14:15,14:20,14:25,14:30,14:35,14:50
0,15:00,15:15,15:20,15:25,15:30,15:35,15:50
0,15:00,15:15,15:20,15:25,15:30,15:35,15:50
0,16:00,16:15,16:20,16:25,16:30,16:35,16:50
0,17:00,17:15,17:20,17:25,17:30,17:35,17:50
0,18:00,18:15,18:20,18:25,18:30,18:35,18:50
0,19:00,19:15,19:20,19:25,19:30,19:35,19:50
0,19:00,19:15,19:20,19:25,19:30,19:35,19:50
0,20:00,20:15,20:20,20:25,20:30,20:35,20:50
0,21:00,21:15,21:20,21:25,21:30,21:35,21:50
0,21:00,21:15,21:20,21:25,21:30,21:35,21:50
0,22:00,22:15,22:20,22:25,22:30,22:35,22:50
