,Parada,Lat,Lon
0,Los Nogales,37.13042616957225,-3.5354988276958466
0,Paseo del Río,37.13251003830477,-3.539024591445923
0,Plaza Miraflores,37.132338968636645,-3.5405896604061127
0,Ctra. de Monachil 7,37.13357066161507,-3.5483720898628235
0,Casillas,37.135737836609685,-3.556421399116516
0,Avda. de Colinas Bermejas 1,37.13321836953342,-3.5567238181829452
0,Avda. de Colinas Bermejas 2,37.13114040092727,-3.5544566810131073
0,Avda. de Colinas Bermejas 3,37.12972,-3.55218
0,Avda. de Colinas Bermejas 4,37.12804,-3.55065
0,Depósito del Agua,37.12595,-3.5497
0,Cortijo Labella,37.12284292638502,-3.5461311042308807
0,Laúd,37.11948,-3.54436
0,Cortijo Labella,37.12299156182964,-3.546402007341385
0,Muntasil 1,37.12475,-3.55073
0,Libertad Alto,37.12424,-3.5536
0,Libertad 1,37.12534,-3.55467
0,Libertad 2,37.12694,-3.5564
0,Libertad 3,37.12809,-3.5577
0,Libertad 4,37.12889,-3.55855
0,Libertad 5,37.13085,-3.55853
0,Instituto,37.13271,-3.55828
0,Libertad 6,37.133379814666704,-3.55813667178154
0,Madrid 2,37.1348103531827,-3.5590432584285736
0,Madrid 3,37.13332154477422,-3.5605285316705704
0,Madrid 4,37.13268,-3.56242
0,Madrid 5,37.13191610414118,-3.563484326004982
0,Bco. Malacabí 1,37.13069,-3.56447
0,Cno. de Las Canteras,37.12918801002389,-3.565778285264969
0,Los Nogales,37.13042616957225,-3.5354988276958466
